!Sori:   !| #####################################################
!Scor:   !| #                                                   #
!        !| #                                                   #
!        !| #                                                   #
!!!!!!!!!!| #####################################################
  Plante  | -----------------------------------------------------
          | ##### ##### ##### ##### ##### ##### ##### ##### #####
          | #   # #   # #   # #   # #   # #   # #   # #   # #   #
          | #   # #   # #   # #   # #   # #   # #   # #   # #   #
          | #   # #   # #   # #   # #   # #   # #   # #   # #   #
          | ##### ##### ##### ##### ##### ##### ##### ##### #####
          | ##### ##### ##### ##### ##### ##### ##### ##### #####
          | #   # #   # #   # #   # #   # #   # #   # #   # #   #
          | #   # #   # #   # #   # #   # #   # #   # #   # #   #
          | #   # #   # #   # #   # #   # #   # #   # #   # #   #
          | ##### ##### ##### ##### ##### ##### ##### ##### #####
          | ##### ##### ##### ##### ##### ##### ##### ##### #####
          | #   # #   # #   # #   # #   # #   # #   # #   # #   #
          | #   # #   # #   # #   # #   # #   # #   # #   # #   #
          | #   # #   # #   # #   # #   # #   # #   # #   # #   #
          | ##### ##### ##### ##### ##### ##### ##### ##### #####
